Taxon	Context	Cluster	Abundance	Diversity	Univocity	k-value
o__Methylococcales	Epipelagic	Cl_Gammaproteobacteria_1	76.621	50	1.0	76.621
o__Methylococcales	Bathypelagic	Cl_Gammaproteobacteria_1	419.62099999999987	270	1.0	419.62099999999987
o__Methylococcales	Mesopelagic	Cl_Gammaproteobacteria_1	255.30499999999998	174	1.0	255.30499999999998
Unspecified	Epipelagic	Cl_Gammaproteobacteria_1	0.0	0	1.0	0.0
Unspecified	Bathypelagic	Cl_Gammaproteobacteria_1	0.0	0	1.0	0.0
Unspecified	Mesopelagic	Cl_Gammaproteobacteria_1	0.0	0	1.0	0.0
s__Marinobacter hydrocarbonoclasticus	Epipelagic	Cl_Gammaproteobacteria_1	0.0	0	1.0	0.0
s__Marinobacter hydrocarbonoclasticus	Bathypelagic	Cl_Gammaproteobacteria_1	0.0	0	1.0	0.0
s__Marinobacter hydrocarbonoclasticus	Mesopelagic	Cl_Gammaproteobacteria_1	0.0	0	1.0	0.0
s__	Epipelagic	Cl_Gammaproteobacteria_1	0.0	0	1.0	0.0
s__	Bathypelagic	Cl_Gammaproteobacteria_1	0.0	0	1.0	0.0
s__	Mesopelagic	Cl_Gammaproteobacteria_1	0.0	0	1.0	0.0
s__Pseudomonas_A stutzeri_AB	Epipelagic	Cl_Gammaproteobacteria_1	0.0	0	1.0	0.0
s__Pseudomonas_A stutzeri_AB	Bathypelagic	Cl_Gammaproteobacteria_1	0.0	0	1.0	0.0
s__Pseudomonas_A stutzeri_AB	Mesopelagic	Cl_Gammaproteobacteria_1	0.0	0	1.0	0.0
g__Marinobacter	Epipelagic	Cl_Gammaproteobacteria_1	0.0	0	1.0	0.0
g__Marinobacter	Bathypelagic	Cl_Gammaproteobacteria_1	0.0	0	1.0	0.0
g__Marinobacter	Mesopelagic	Cl_Gammaproteobacteria_1	0.0	0	1.0	0.0
s__UBA7803 sp002480525	Epipelagic	Cl_Gammaproteobacteria_1	0.0	0	1.0	0.0
s__UBA7803 sp002480525	Bathypelagic	Cl_Gammaproteobacteria_1	0.0	0	1.0	0.0
s__UBA7803 sp002480525	Mesopelagic	Cl_Gammaproteobacteria_1	0.0	0	1.0	0.0
o__Pseudomonadales	Epipelagic	Cl_Gammaproteobacteria_1	0.0	0	1.0	0.0
o__Pseudomonadales	Bathypelagic	Cl_Gammaproteobacteria_1	0.0	0	1.0	0.0
o__Pseudomonadales	Mesopelagic	Cl_Gammaproteobacteria_1	0.0	0	1.0	0.0
s__Labrenzia aggregata	Epipelagic	Cl_Gammaproteobacteria_1	0.0	0	1.0	0.0
s__Labrenzia aggregata	Bathypelagic	Cl_Gammaproteobacteria_1	0.0	0	1.0	0.0
s__Labrenzia aggregata	Mesopelagic	Cl_Gammaproteobacteria_1	0.0	0	1.0	0.0
s__Thiobacillus denitrificans_E	Epipelagic	Cl_Gammaproteobacteria_1	0.0	0	1.0	0.0
s__Thiobacillus denitrificans_E	Bathypelagic	Cl_Gammaproteobacteria_1	0.0	0	1.0	0.0
s__Thiobacillus denitrificans_E	Mesopelagic	Cl_Gammaproteobacteria_1	0.0	0	1.0	0.0
s__Marinicella sediminis	Epipelagic	Cl_Gammaproteobacteria_1	0.0	0	1.0	0.0
s__Marinicella sediminis	Bathypelagic	Cl_Gammaproteobacteria_1	0.0	0	1.0	0.0
s__Marinicella sediminis	Mesopelagic	Cl_Gammaproteobacteria_1	0.0	0	1.0	0.0
s__Marinobacter segnicrescens	Epipelagic	Cl_Gammaproteobacteria_1	0.0	0	1.0	0.0
s__Marinobacter segnicrescens	Bathypelagic	Cl_Gammaproteobacteria_1	0.0	0	1.0	0.0
s__Marinobacter segnicrescens	Mesopelagic	Cl_Gammaproteobacteria_1	0.0	0	1.0	0.0
s__GCA-002726655 sp002725995	Epipelagic	Cl_Gammaproteobacteria_1	0.0	0	1.0	0.0
s__GCA-002726655 sp002725995	Bathypelagic	Cl_Gammaproteobacteria_1	0.0	0	1.0	0.0
s__GCA-002726655 sp002725995	Mesopelagic	Cl_Gammaproteobacteria_1	0.0	0	1.0	0.0
c__Gammaproteobacteria	Epipelagic	Cl_Gammaproteobacteria_1	0.0	0	1.0	0.0
c__Gammaproteobacteria	Bathypelagic	Cl_Gammaproteobacteria_1	0.0	0	1.0	0.0
c__Gammaproteobacteria	Mesopelagic	Cl_Gammaproteobacteria_1	0.0	0	1.0	0.0
o__Methylococcales	Epipelagic	Cl_Halobacteria	0.0	0	1.0	0.0
o__Methylococcales	Bathypelagic	Cl_Halobacteria	0.0	0	1.0	0.0
o__Methylococcales	Mesopelagic	Cl_Halobacteria	0.0	0	1.0	0.0
Unspecified	Epipelagic	Cl_Halobacteria	6.318999999999999	7	1.0	6.318999999999999
Unspecified	Bathypelagic	Cl_Halobacteria	99.32300000000002	46	1.0	99.32300000000002
Unspecified	Mesopelagic	Cl_Halobacteria	35.122	25	1.0	35.122
s__Marinobacter hydrocarbonoclasticus	Epipelagic	Cl_Halobacteria	0.0	0	1.0	0.0
s__Marinobacter hydrocarbonoclasticus	Bathypelagic	Cl_Halobacteria	0.0	0	1.0	0.0
s__Marinobacter hydrocarbonoclasticus	Mesopelagic	Cl_Halobacteria	0.0	0	1.0	0.0
s__	Epipelagic	Cl_Halobacteria	0.0	0	1.0	0.0
s__	Bathypelagic	Cl_Halobacteria	0.0	0	1.0	0.0
s__	Mesopelagic	Cl_Halobacteria	0.0	0	1.0	0.0
s__Pseudomonas_A stutzeri_AB	Epipelagic	Cl_Halobacteria	0.0	0	1.0	0.0
s__Pseudomonas_A stutzeri_AB	Bathypelagic	Cl_Halobacteria	0.0	0	1.0	0.0
s__Pseudomonas_A stutzeri_AB	Mesopelagic	Cl_Halobacteria	0.0	0	1.0	0.0
g__Marinobacter	Epipelagic	Cl_Halobacteria	0.0	0	1.0	0.0
g__Marinobacter	Bathypelagic	Cl_Halobacteria	0.0	0	1.0	0.0
g__Marinobacter	Mesopelagic	Cl_Halobacteria	0.0	0	1.0	0.0
s__UBA7803 sp002480525	Epipelagic	Cl_Halobacteria	0.0	0	1.0	0.0
s__UBA7803 sp002480525	Bathypelagic	Cl_Halobacteria	0.0	0	1.0	0.0
s__UBA7803 sp002480525	Mesopelagic	Cl_Halobacteria	0.0	0	1.0	0.0
o__Pseudomonadales	Epipelagic	Cl_Halobacteria	0.0	0	1.0	0.0
o__Pseudomonadales	Bathypelagic	Cl_Halobacteria	0.0	0	1.0	0.0
o__Pseudomonadales	Mesopelagic	Cl_Halobacteria	0.0	0	1.0	0.0
s__Labrenzia aggregata	Epipelagic	Cl_Halobacteria	0.0	0	1.0	0.0
s__Labrenzia aggregata	Bathypelagic	Cl_Halobacteria	0.0	0	1.0	0.0
s__Labrenzia aggregata	Mesopelagic	Cl_Halobacteria	0.0	0	1.0	0.0
s__Thiobacillus denitrificans_E	Epipelagic	Cl_Halobacteria	0.0	0	1.0	0.0
s__Thiobacillus denitrificans_E	Bathypelagic	Cl_Halobacteria	0.0	0	1.0	0.0
s__Thiobacillus denitrificans_E	Mesopelagic	Cl_Halobacteria	0.0	0	1.0	0.0
s__Marinicella sediminis	Epipelagic	Cl_Halobacteria	0.0	0	1.0	0.0
s__Marinicella sediminis	Bathypelagic	Cl_Halobacteria	0.0	0	1.0	0.0
